metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
CVR,CVR,ctgan,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVR,CVR,ctgan,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVR,CVR,ctgan,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVR,CVR,ctgan,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVR,CVR,ddpm,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVR,CVR,ddpm,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVR,CVR,ddpm,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVR,CVR,ddpm,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVR,CVR,ddpm,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVR,CVR,ddpm,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVR,CVR,ddpm,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVR,CVR,ddpm,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVR,CVR,ddpm,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVR,CVR,ddpm,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVR,CVR,ddpm,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVR,CVR,decaf,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVR,CVR,decaf,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVR,CVR,decaf,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVR,CVR,decaf,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVR,CVR,decaf,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVR,CVR,decaf,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVR,CVR,decaf,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVR,CVR,decaf,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVR,CVR,decaf,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVR,CVR,decaf,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVR,CVR,decaf,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVR,CVR,dpgan,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVR,CVR,dpgan,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVR,CVR,dpgan,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVR,CVR,dpgan,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVR,CVR,dpgan,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVR,CVR,dpgan,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVR,CVR,dpgan,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVR,CVR,dpgan,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVR,CVR,dpgan,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
