metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
sCVC,sCVC,pategan,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
sCVC,sCVC,rtvae,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
sCVC,sCVC,rtvae,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
sCVC,sCVC,rtvae,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
sCVC,sCVC,rtvae,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
sCVC,sCVC,rtvae,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
sCVC,sCVC,rtvae,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
sCVC,sCVC,rtvae,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
sCVC,sCVC,rtvae,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
sCVC,sCVC,rtvae,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
sCVC,sCVC,rtvae,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
sCVC,sCVC,rtvae,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
sCVC,sCVC,tvae,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
sCVC,sCVC,tvae,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
sCVC,sCVC,tvae,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
sCVC,sCVC,tvae,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
sCVC,sCVC,tvae,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
sCVC,sCVC,tvae,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
sCVC,sCVC,tvae,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
sCVC,sCVC,tvae,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
sCVC,sCVC,tvae,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
sCVC,sCVC,tvae,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
sCVC,sCVC,tvae,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
