metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
xgb,xgb,synthcity.metrics.eval_performance,decaf,576,0.7413552483938334,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,768,0.6763816336948004,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,960,0.7251993160532165,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,1152,0.651400293932422,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,1344,0.5831916947695563,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,1536,0.5597878665944241,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,1728,0.5133600512012667,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,1920,0.575621226521883,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,decaf,2112,0.6724810354966739,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,192,0.433115468409586,191,191,step_192_real.parquet,step_192_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,384,0.5938644277825523,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,576,0.5233732310654657,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,768,0.5338001121916301,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,960,0.4171395088351583,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,1152,0.5522109606405804,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,1344,0.554287635824935,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,1536,0.28627541869292933,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,1728,0.5375223653139045,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,1920,0.49959040617055406,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,dpgan,2112,0.5278986787643446,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,great,192,0.4727668845315904,191,191,step_192_real.parquet,step_192_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,great,384,0.5514011704899825,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,great,576,0.8926624234662185,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,great,768,0.909010010005202,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,nflow,192,0.55919518134051,191,191,step_192_real.parquet,step_192_synth.parquet,
