metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
detection_linear,detection_linear,synthcity.metrics.eval_detection,ddpm,2112,0.7159325416651972,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,192,0.573647796792328,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,384,0.7166762464628444,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,576,0.5985478816717569,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,768,0.5981356552223754,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,960,0.6007343301005746,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,1152,0.6810854122470626,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,1344,0.5562603825436775,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,1536,0.6306695658166814,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,1728,0.6883754099151234,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,1920,0.7210156390091127,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,decaf,2112,0.6537292656741669,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,192,0.9815628616898148,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,384,0.9996937028379266,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,576,0.9997466277632344,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,768,0.9999898274739584,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,960,0.9999444879832811,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,1536,0.9999707490108563,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,1728,0.999993961352657,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,1920,0.999998369848722,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,dpgan,2112,0.9999986529591792,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,great,192,0.5628784825562169,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,great,384,0.5953357926816765,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,great,576,0.596454010098531,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,great,768,0.6347337311389399,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,192,0.6470049499834656,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,384,0.6684717693979659,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,576,0.6971799367061761,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,768,0.7054592556423612,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,960,0.6978752163335945,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,1152,0.7005322777940207,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,1344,0.6974066089750357,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,1536,0.662630281491911,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,1728,0.6602133096260512,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,1920,0.7545429437883087,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,nflow,2112,0.7533992498574585,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,192,0.9661987950562169,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,384,0.8084008724983596,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,576,0.8986916770439451,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,768,0.9866568372140523,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,960,0.8179259935018286,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,1152,0.8924066233526586,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,1344,0.8344250980768426,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,1536,0.8529345418453528,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,1728,0.9105924811152487,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,1920,0.7411486275145084,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,pategan,2112,0.7570161836162975,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,192,0.5570617352843915,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,384,0.6871073565145177,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,576,0.7389568146148439,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,768,0.9892803915185867,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,960,0.6463943924699582,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,1152,0.5841351361445793,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,1344,0.5780374186517448,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,1536,0.600585989756127,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,1728,0.947667539265186,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,1920,0.5685952922759357,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,rtvae,2112,0.6025751111492365,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,192,0.5877976190476191,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,384,0.6293153938033136,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,576,0.6453219020415212,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,768,0.6402903637854881,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,960,0.5560370746799895,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,1152,0.6050036173703282,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,1344,0.5558503530659328,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,1536,0.5871109760281935,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,1728,0.597967025421028,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,1920,0.5786400424756292,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,tvae,2112,0.5913889904654613,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
