metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
k-anonymization,k_anonymization,nflow,192,1.00000001,191,191,step_192_real.parquet,step_192_synth.parquet,
k-anonymization,k_anonymization,nflow,384,2.00000001,383,383,step_384_real.parquet,step_384_synth.parquet,
k-anonymization,k_anonymization,nflow,576,2.00000001,575,575,step_576_real.parquet,step_576_synth.parquet,
k-anonymization,k_anonymization,nflow,768,8.00000001,767,767,step_768_real.parquet,step_768_synth.parquet,
k-anonymization,k_anonymization,nflow,960,10.00000001,959,959,step_960_real.parquet,step_960_synth.parquet,
k-anonymization,k_anonymization,nflow,1152,7.00000001,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-anonymization,k_anonymization,nflow,1344,10.00000001,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-anonymization,k_anonymization,nflow,1536,14.00000001,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-anonymization,k_anonymization,nflow,1728,10.00000001,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-anonymization,k_anonymization,nflow,1920,18.00000001,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-anonymization,k_anonymization,nflow,2112,18.00000001,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
k-anonymization,k_anonymization,pategan,192,1.00000001,191,191,step_192_real.parquet,step_192_synth.parquet,
k-anonymization,k_anonymization,pategan,384,4.00000001,383,383,step_384_real.parquet,step_384_synth.parquet,
k-anonymization,k_anonymization,pategan,576,8.00000001,575,575,step_576_real.parquet,step_576_synth.parquet,
k-anonymization,k_anonymization,pategan,768,1.00000001,767,767,step_768_real.parquet,step_768_synth.parquet,
k-anonymization,k_anonymization,pategan,960,4.00000001,959,959,step_960_real.parquet,step_960_synth.parquet,
k-anonymization,k_anonymization,pategan,1152,8.00000001,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-anonymization,k_anonymization,pategan,1344,10.00000001,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-anonymization,k_anonymization,pategan,1536,8.00000001,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-anonymization,k_anonymization,pategan,1728,21.00000001,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-anonymization,k_anonymization,pategan,1920,28.00000001,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-anonymization,k_anonymization,pategan,2112,35.00000001,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
k-anonymization,k_anonymization,rtvae,192,1.00000001,191,191,step_192_real.parquet,step_192_synth.parquet,
k-anonymization,k_anonymization,rtvae,384,1.00000001,383,383,step_384_real.parquet,step_384_synth.parquet,
k-anonymization,k_anonymization,rtvae,576,5.00000001,575,575,step_576_real.parquet,step_576_synth.parquet,
k-anonymization,k_anonymization,rtvae,768,2.00000001,767,767,step_768_real.parquet,step_768_synth.parquet,
k-anonymization,k_anonymization,rtvae,960,4.00000001,959,959,step_960_real.parquet,step_960_synth.parquet,
k-anonymization,k_anonymization,rtvae,1152,9.00000001,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-anonymization,k_anonymization,rtvae,1344,2.00000001,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-anonymization,k_anonymization,rtvae,1536,9.00000001,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-anonymization,k_anonymization,rtvae,1728,15.00000001,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-anonymization,k_anonymization,rtvae,1920,26.00000001,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-anonymization,k_anonymization,rtvae,2112,21.00000001,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
k-anonymization,k_anonymization,tvae,192,4.00000001,191,191,step_192_real.parquet,step_192_synth.parquet,
k-anonymization,k_anonymization,tvae,384,6.00000001,383,383,step_384_real.parquet,step_384_synth.parquet,
k-anonymization,k_anonymization,tvae,576,4.00000001,575,575,step_576_real.parquet,step_576_synth.parquet,
k-anonymization,k_anonymization,tvae,768,5.00000001,767,767,step_768_real.parquet,step_768_synth.parquet,
k-anonymization,k_anonymization,tvae,960,8.00000001,959,959,step_960_real.parquet,step_960_synth.parquet,
k-anonymization,k_anonymization,tvae,1152,3.00000001,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-anonymization,k_anonymization,tvae,1344,32.00000001,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-anonymization,k_anonymization,tvae,1536,4.00000001,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-anonymization,k_anonymization,tvae,1728,50.00000001,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-anonymization,k_anonymization,tvae,1920,53.00000001,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-anonymization,k_anonymization,tvae,2112,40.00000001,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
