metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
delta-presence,delta_presence,dpgan,384,241.99999758000004,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,dpgan,576,39.99999960000001,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,dpgan,768,249.99999750000003,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,dpgan,960,43.999999560000006,959,959,step_960_real.parquet,step_960_synth.parquet,
delta-presence,delta_presence,dpgan,1152,59.499999702500006,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
delta-presence,delta_presence,dpgan,1344,188.99999811000004,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
delta-presence,delta_presence,dpgan,1536,283.99999905333334,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
delta-presence,delta_presence,dpgan,1728,48.999999755000005,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
delta-presence,delta_presence,dpgan,1920,272.99999727000005,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
delta-presence,delta_presence,dpgan,2112,277.99999722000007,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
delta-presence,delta_presence,great,192,3.9999999600000007,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,great,384,14.999999850000002,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,great,576,5.99999998,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,great,768,3.999999986666667,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,nflow,192,8.999999955,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,nflow,384,2.142857139795918,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,nflow,576,2.7999999971999996,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,nflow,768,1.9999999985714285,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,nflow,960,4.999999983333334,959,959,step_960_real.parquet,step_960_synth.parquet,
delta-presence,delta_presence,nflow,1152,1.5396825394381457,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
delta-presence,delta_presence,nflow,1344,3.312499997929687,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
delta-presence,delta_presence,nflow,1536,6.062499996210938,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
delta-presence,delta_presence,nflow,1728,1.9999999986666666,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
delta-presence,delta_presence,nflow,1920,8.333333305555556,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
delta-presence,delta_presence,nflow,2112,3.5671641785720656,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
delta-presence,delta_presence,pategan,192,8.999999910000001,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,pategan,384,4.999999994444444,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,pategan,576,7.9999999840000005,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,pategan,768,23.333333255555555,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,pategan,960,5.374999993281249,959,959,step_960_real.parquet,step_960_synth.parquet,
delta-presence,delta_presence,pategan,1152,4.615384611834319,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
delta-presence,delta_presence,pategan,1344,5.888888882345679,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
delta-presence,delta_presence,pategan,1536,4.837837836530314,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
delta-presence,delta_presence,pategan,1728,4.749999997625,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
delta-presence,delta_presence,pategan,1920,2.879120878804492,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
delta-presence,delta_presence,pategan,2112,2.9146341459860206,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
delta-presence,delta_presence,rtvae,192,13.666666621111112,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,rtvae,384,22.999999770000002,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,rtvae,576,31.999999680000005,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,rtvae,768,35.999999640000006,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,rtvae,960,27.333333242222224,959,959,step_960_real.parquet,step_960_synth.parquet,
delta-presence,delta_presence,rtvae,1152,29.999999850000002,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
delta-presence,delta_presence,rtvae,1344,48.66666650444444,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
delta-presence,delta_presence,rtvae,1536,12.222222208641973,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
delta-presence,delta_presence,rtvae,1728,51.4999997425,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
delta-presence,delta_presence,rtvae,1920,28.749999964062496,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
delta-presence,delta_presence,rtvae,2112,13.999999930000001,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
delta-presence,delta_presence,tvae,192,8.999999955,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,tvae,384,16.999999830000004,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,tvae,576,39.99999960000001,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,tvae,768,11.999999880000003,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,tvae,960,81.99999918000002,959,959,step_960_real.parquet,step_960_synth.parquet,
delta-presence,delta_presence,tvae,1152,6.533333328977777,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
delta-presence,delta_presence,tvae,1344,9.99999998,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
delta-presence,delta_presence,tvae,1536,13.99999998,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
delta-presence,delta_presence,tvae,1728,16.33333330611111,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
delta-presence,delta_presence,tvae,1920,17.749999955625,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
delta-presence,delta_presence,tvae,2112,25.999999740000003,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
